                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.7097,                0.83507,                 1.0753,                0.99193,                0.97872,                0.97524,                0.47095,                 1.8518,                0.82343,                 1.1214,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6393,                0.80713,                 1.0657,                 0.9546,                0.95745,                0.96892,                0.49046,                 1.7701,                0.79403,                 1.0831,               0.001109,               0.001109,               0.001109
                     47,                 1.7561,                 0.8517,                 1.0826,                0.95307,                0.95745,                0.96672,                0.47312,                 1.7598,                0.79521,                  1.094,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7683,                0.86368,                 1.0674,                0.93602,                0.93383,                  0.909,                0.45084,                 1.7733,                0.87719,                 1.0999,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.802,                0.89382,                 1.0991,                0.87981,                0.93448,                0.92309,                0.44186,                 1.7529,                0.89352,                 1.0822,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7406,                0.87464,                 1.0654,                 0.9334,                0.93617,                0.95491,                0.45742,                 1.7612,                0.81372,                 1.0841,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6664,                0.83796,                 1.0295,                0.95383,                0.97872,                0.97441,                0.46875,                  1.742,                0.80125,                 1.0931,                0.00101,                0.00101,                0.00101
                     52,                  1.647,                0.84929,                 1.0404,                0.93614,                0.91489,                 0.9166,                0.40968,                 2.0026,                0.86401,                 1.1815,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6464,                 0.8275,                 1.0694,                0.91392,                0.90373,                0.86681,                0.39617,                 1.9912,                 0.8663,                  1.181,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7027,                0.85144,                 1.0732,                      1,                0.95246,                0.97441,                0.45035,                 1.7875,                 0.8036,                 1.0974,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7443,                0.83202,                 1.1198,                0.97826,                0.95755,                0.97482,                0.46613,                 1.8144,                0.81004,                 1.1061,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6859,                0.80225,                 1.0336,                0.97358,                0.97872,                0.97441,                0.40983,                 1.9657,                0.84321,                 1.1608,               0.000911,               0.000911,               0.000911
                     57,                 1.7165,                0.80099,                 1.0675,                0.97522,                0.97872,                 0.9744,                0.41246,                 1.9613,                0.84537,                 1.1606,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7058,                0.81033,                 1.0778,                0.97352,                0.97872,                0.97525,                0.40813,                 1.9421,                0.83549,                 1.1467,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6466,                0.81673,                 1.0533,                0.95327,                0.97872,                0.98547,                0.43102,                 1.8488,                0.82417,                 1.1207,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.6385,                0.80407,                 1.0008,                0.97258,                0.97872,                0.98429,                0.45403,                 1.8096,                0.78346,                 1.1062,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6626,                0.79706,                 1.0581,                0.95318,                0.95745,                0.93736,                 0.4511,                  1.814,                0.77205,                 1.1114,               0.000812,               0.000812,               0.000812
                     62,                 1.6761,                0.78953,                 1.0861,                0.94225,                0.93617,                0.90512,                0.42276,                 1.9502,                0.80819,                 1.1695,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5915,                 0.7649,                 1.0588,                 0.9327,                0.93617,                0.95089,                 0.4505,                 1.8799,                0.81534,                 1.1341,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.6428,                0.79102,                 1.0683,                0.89692,                0.93617,                0.94136,                0.42896,                 1.9596,                0.82004,                 1.1675,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6041,                0.76955,                 1.0451,                0.87458,                0.91489,                 0.9047,                0.43097,                  1.981,                0.82059,                 1.1774,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6628,                0.79583,                 1.0599,                0.87821,                0.93617,                0.93296,                0.43274,                 1.9565,                0.83428,                 1.1834,               0.000713,               0.000713,               0.000713
                     67,                 1.6268,                0.78307,                 1.0279,                0.87719,                0.93617,                0.92594,                0.42352,                 1.9414,                0.84115,                 1.1815,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6289,                0.77364,                 1.0372,                0.93722,                  0.953,                0.91956,                0.42324,                 1.9224,                0.82368,                 1.1757,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.625,                0.76599,                 1.0425,                0.93187,                0.95745,                0.93985,                 0.4411,                 1.8905,                0.81234,                 1.1518,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5641,                0.75046,                 1.0291,                0.93118,                0.93617,                0.92921,                0.45816,                 1.8332,                0.76985,                 1.1228,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.5722,                0.73058,                 1.0454,                0.93252,                0.93617,                0.93005,                0.45722,                 1.8567,                0.76115,                 1.1247,               0.000614,               0.000614,               0.000614
                     72,                 1.5295,                0.71964,                 1.0264,                0.94826,                0.93617,                0.95856,                0.44372,                 1.8168,                0.76508,                 1.1092,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.5917,                0.74856,                 1.0062,                0.93541,                0.93617,                0.94432,                0.42416,                 1.8579,                0.76992,                 1.1174,              0.0005744,              0.0005744,              0.0005744
